season,team1,team2,date,winner,Venue
2017,South Africa,Sri Lanka,2017/02/04,South Africa,"The Wanderers Stadium, Johannesburg"
2017,New Zealand,Australia,2017/02/05,New Zealand,"Seddon Park, Hamilton"
2017,South Africa,Sri Lanka,2017/02/07,South Africa,"Newlands, Cape Town"
2017,South Africa,Sri Lanka,2017/02/10,South Africa,"SuperSport Park, Centurion"
2017,New Zealand,South Africa,2017/02/19,South Africa,"Seddon Park, Hamilton"
2017,New Zealand,South Africa,2017/02/22,New Zealand,"Hagley Oval, Christchurch"
2017,New Zealand,South Africa,2017/02/25,South Africa,"Sky Stadium, Wellington"
2017,New Zealand,South Africa,2017/03/01,New Zealand,"Seddon Park, Hamilton"
2017,New Zealand,South Africa,2017/03/04,South Africa,"Eden Park, Auckland"
2017,Sri Lanka,Bangladesh,2017/03/25,Bangladesh,Dambulla
2017,Sri Lanka,Bangladesh,2017/03/28,no result,Dambulla
2017,Sri Lanka,Bangladesh,2017/04/01,Sri Lanka,"R.Premadasa Stadium, Colombo"
2017,Bangladesh,New Zealand,2017/05/17,New Zealand,"Malahide, Dublin"
2017,Bangladesh,New Zealand,2017/05/24,Bangladesh,"Malahide, Dublin"
2017,England,South Africa,2017/05/24,England,"Headingley, Leeds"
